ori,year,homicides,city
FL0130600,2022,27.0,Miami
FL0130600,2023,32.0,Miami
FL0130600,2024,28.0,Miami
FL0130600,2025,27.0,Miami
LANPD0000,2007,209.0,New Orleans
LANPD0000,2008,94.0,New Orleans
LANPD0000,2009,162.0,New Orleans
LANPD0000,2010,174.0,New Orleans
LANPD0000,2011,199.0,New Orleans
LANPD0000,2012,193.0,New Orleans
LANPD0000,2013,135.0,New Orleans
LANPD0000,2014,141.0,New Orleans
LANPD0000,2015,164.0,New Orleans
LANPD0000,2016,174.0,New Orleans
LANPD0000,2017,157.0,New Orleans
LANPD0000,2018,147.0,New Orleans
LANPD0000,2019,121.0,New Orleans
LANPD0000,2020,193.0,New Orleans
LANPD0000,2021,0.0,New Orleans
LANPD0000,2022,0.0,New Orleans
LANPD0000,2023,0.0,New Orleans
LANPD0000,2024,0.0,New Orleans
LANPD0000,2025,0.0,New Orleans
NM0010100,2007,47.0,Albuquerque
NM0010100,2008,38.0,Albuquerque
NM0010100,2009,56.0,Albuquerque
NM0010100,2010,42.0,Albuquerque
NM0010100,2011,38.0,Albuquerque
NM0010100,2012,41.0,Albuquerque
NM0010100,2013,37.0,Albuquerque
NM0010100,2014,37.0,Albuquerque
NM0010100,2015,50.0,Albuquerque
NM0010100,2016,45.0,Albuquerque
NM0010100,2017,62.0,Albuquerque
NM0010100,2018,69.0,Albuquerque
NM0010100,2019,80.0,Albuquerque
NM0010100,2020,76.0,Albuquerque
NM0010100,2021,125.0,Albuquerque
NM0010100,2022,126.0,Albuquerque
NM0010100,2023,110.0,Albuquerque
NM0010100,2024,106.0,Albuquerque
NM0010100,2025,72.0,Albuquerque
CA0100500,2007,52.0,Fresno
CA0100500,2008,40.0,Fresno
CA0100500,2009,42.0,Fresno
CA0100500,2010,45.0,Fresno
CA0100500,2011,35.0,Fresno
CA0100500,2012,51.0,Fresno
CA0100500,2013,40.0,Fresno
CA0100500,2014,47.0,Fresno
CA0100500,2015,39.0,Fresno
CA0100500,2016,39.0,Fresno
CA0100500,2017,56.0,Fresno
CA0100500,2018,32.0,Fresno
CA0100500,2019,35.0,Fresno
CA0100500,2020,77.0,Fresno
CA0100500,2021,73.0,Fresno
CA0100500,2022,62.0,Fresno
CA0100500,2023,38.0,Fresno
CA0100500,2024,32.0,Fresno
CA0100500,2025,23.0,Fresno
CT0006400,2007,31.0,Hartford
CT0006400,2008,31.0,Hartford
CT0006400,2009,33.0,Hartford
CT0006400,2010,26.0,Hartford
CT0006400,2011,27.0,Hartford
CT0006400,2012,23.0,Hartford
CT0006400,2013,23.0,Hartford
CT0006400,2014,19.0,Hartford
CT0006400,2015,32.0,Hartford
CT0006400,2016,14.0,Hartford
CT0006400,2017,29.0,Hartford
CT0006400,2018,21.0,Hartford
CT0006400,2019,21.0,Hartford
CT0006400,2020,24.0,Hartford
CT0006400,2021,41.0,Hartford
CT0006400,2022,40.0,Hartford
CT0006400,2023,37.0,Hartford
CT0006400,2024,22.0,Hartford
CT0006400,2025,11.0,Hartford
NJNPD0000,2007,104.0,Newark
NJNPD0000,2008,67.0,Newark
NJNPD0000,2009,80.0,Newark
NJNPD0000,2010,90.0,Newark
NJNPD0000,2011,94.0,Newark
NJNPD0000,2012,96.0,Newark
NJNPD0000,2013,112.0,Newark
NJNPD0000,2014,95.0,Newark
NJNPD0000,2015,95.0,Newark
NJNPD0000,2016,101.0,Newark
NJNPD0000,2017,77.0,Newark
NJNPD0000,2018,75.0,Newark
NJNPD0000,2019,57.0,Newark
NJNPD0000,2020,57.0,Newark
NJNPD0000,2021,61.0,Newark
NJNPD0000,2022,52.0,Newark
NJNPD0000,2023,54.0,Newark
NJNPD0000,2024,42.0,Newark
NJNPD0000,2025,33.0,Newark
TNMPD0000,2007,131.0,Memphis
TNMPD0000,2008,138.0,Memphis
TNMPD0000,2009,132.0,Memphis
TNMPD0000,2010,89.0,Memphis
TNMPD0000,2011,117.0,Memphis
TNMPD0000,2012,134.0,Memphis
TNMPD0000,2013,125.0,Memphis
TNMPD0000,2014,143.0,Memphis
TNMPD0000,2015,138.0,Memphis
