city,state,year,homicide_count,cleared_by_arrest,closed_without_arrest,open_no_arrest,clearance_rate,rtcc_year,post_rtcc,years_since_rtcc
Albuquerque,NM,2012,46,32,6,8,0.6956521739130435,2020,0,0
Albuquerque,NM,2013,33,17,11,5,0.5151515151515151,2020,0,0
Albuquerque,NM,2014,28,20,2,6,0.7142857142857143,2020,0,0
Albuquerque,NM,2015,50,29,11,10,0.58,2020,0,0
Albuquerque,NM,2016,63,38,8,17,0.6031746031746031,2020,0,0
Albuquerque,NM,2017,75,38,2,35,0.5066666666666667,2020,0,0
Albuquerque,NM,2018,0,0,0,0,,2020,0,0
Albuquerque,NM,2019,0,0,0,0,,2020,0,0
Albuquerque,NM,2020,0,0,0,0,,2020,1,0
Albuquerque,NM,2021,0,0,0,0,,2020,1,1
Albuquerque,NM,2022,0,0,0,0,,2020,1,2
Albuquerque,NM,2023,0,0,0,0,,2020,1,3
Fresno,CA,2010,45,30,6,9,0.6666666666666666,2018,0,0
Fresno,CA,2011,35,28,0,7,0.8,2018,0,0
Fresno,CA,2012,51,36,3,12,0.7058823529411765,2018,0,0
Fresno,CA,2013,39,34,0,5,0.8717948717948718,2018,0,0
Fresno,CA,2014,49,39,2,8,0.7959183673469388,2018,0,0
Fresno,CA,2015,39,28,0,11,0.717948717948718,2018,0,0
Fresno,CA,2016,39,21,1,17,0.5384615384615384,2018,0,0
Fresno,CA,2017,56,24,7,25,0.42857142857142855,2018,0,0
Fresno,CA,2018,0,0,0,0,,2018,1,0
Fresno,CA,2019,0,0,0,0,,2018,1,1
Fresno,CA,2020,0,0,0,0,,2018,1,2
Fresno,CA,2021,0,0,0,0,,2018,1,3
Fresno,CA,2022,0,0,0,0,,2018,1,4
Fresno,CA,2023,0,0,0,0,,2018,1,5
Chicago,IL,2010,434,135,44,255,0.31105990783410137,2017,0,0
Chicago,IL,2011,437,133,29,275,0.30434782608695654,2017,0,0
Chicago,IL,2012,505,136,42,327,0.2693069306930693,2017,0,0
Chicago,IL,2013,423,133,24,266,0.3144208037825059,2017,0,0
Chicago,IL,2014,418,125,24,269,0.29904306220095694,2017,0,0
Chicago,IL,2015,487,120,20,347,0.2464065708418891,2017,0,0
Chicago,IL,2016,765,110,15,640,0.1437908496732026,2017,0,0
Chicago,IL,2017,654,56,19,579,0.0856269113149847,2017,1,0
Chicago,IL,2018,0,0,0,0,,2017,1,1
Chicago,IL,2019,0,0,0,0,,2017,1,2
Chicago,IL,2020,0,0,0,0,,2017,1,3
Chicago,IL,2021,0,0,0,0,,2017,1,4
Chicago,IL,2022,0,0,0,0,,2017,1,5
Chicago,IL,2023,0,0,0,0,,2017,1,6
