ori9,agency_name,year,clearance_rate,treated,cate,rtcc_city,population
MA0146000,worcester,1961,0.0,0,-0.40982406682947836,,186587
TN0330100,chattanooga,1961,0.0,0,-1.5550528140209912,,130009
FL0060000,broward,1961,0.0,0,-0.14077651266232072,,145457
NJ0111100,trenton,1961,0.0,0,0.20881229088248876,,114167
NC0600100,charlotte,1961,0.0,0,0.6337214165335316,,201564
UT0180000,salt lake,1961,0.0,0,3.3087868792408677,,161453
VA1220000,richmond,1961,0.0,0,-0.7112271509909729,,219958
PA0350400,scranton,1961,0.0,0,0.22164930218778478,,111443
VA0070100,arlington,1961,0.0,0,0.0464009650387206,,163401
IL1010400,rockford,1961,0.0,0,0.32474981774808226,,128075
AR0600200,little rock,1961,0.0,0,0.042763885940671195,,107813
AL0030100,montgomery,1961,0.0,0,0.07796943966877343,,134393
TX1880100,amarillo,1961,0.0,0,0.18477528704049317,,137969
NC0410200,greensboro,1961,0.0,0,0.14139002195683684,,119574
DE0020300,new castle,1961,0.0,0,1.0053659680483022,,195746
NJ0160800,paterson,1961,0.0,0,0.3392836535377025,,143663
PA0250200,erie,1961,0.0,0,0.2832057021186817,,138440
MA0031100,new bedford,1961,0.0,0,-1.3787846988943269,,102477
CA0190200,arcadia,1961,0.0,0,-0.7470516792870618,Fresno,41005
WA0320400,spokane,1961,0.0,0,7.047249115994909,,181608
FL0160000,duval,1961,0.0,0,-0.19175235828606163,,236339
CA0100000,fresno,1961,0.0,0,1.7377328212518215,,179968
IN0710200,south bend,1961,0.0,0,0.3324416561193963,,132445
OR0260000,multnomah,1961,0.0,0,-0.31017623134683464,,146571
MI8218200,wayne,1961,0.0,0,-0.24871585895094706,,250356
NC0340200,winston salem,1961,0.0,0,-1.41579214816041,,111135
SC0400000,richland,1962,0.0,0,-1.7052127487602504,,110228
AR0600200,little rock,1962,0.0,0,0.30329572328293486,,129378
OH0250000,franklin,1962,0.0,0,2.116560570328962,,101695
NC0340200,winston salem,1962,0.0,0,-0.008074866797493425,,114098
MI3351900,lansing,1962,0.0,0,0.3241887631862851,,115444
CA0360000,san bernardino,1962,0.0,0,-1.3410060976313594,,257222
MD0020200,anne arundel,1962,0.0,0,0.47194390151760396,,198042
