BH001	BH002	FIPS_STATE	BH003	BH004	BH005	BH006	BH007	BH008	BH009	BH010	BH011	BH012	BH013	BH014	BH015	BH016	BH017	BH018	BH019	BH020	BH021	BH022	BH023	BH024	BH025	BH026	BH027	BH028	BH029	BH030	BH031	BH032	BH033	BH034	BH035	BH036	BH037	BH038	BH039	BH040	BH041	BH042	BH043	BH044	BH045	BH046	BH047	BH048	BH049	BH050	BH051	BH052	BH053	BH054	BH055	BH056	BH057	BH058	BH059	BH060
BH	21	26	MI6185400	     .00	 	 	TWIN LAKE	MI	70	3	2	1	0	MI6116100	3220	205W	 	01-DEC-2023	1326	61	563	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	 	0	2023	 	 	 	 	 	 	 	 	 	 	 	 	121	 	 	 	 	 	1
BH	21	26	MI6192300	     .00	 	 	MUSKEGON	MI	70	3	2	5	0	MI6116100	3220	205W	 	01-DEC-2023	0	61	563	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	 	0	2023	 	 	 	 	 	 	 	 	 	 	 	 	121	 	 	 	 	 	1
BH	21	26	MI6206200	     .00	 	01-JAN-1998	NEWAYGO	MI	84	3	2	4	0	 	3220	205W	1	 	0	62	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	123	 	 	 	 	 	1
BH	21	26	MI6216200	     .00	 	01-JAN-1995	WHITE CLOUD	MI	82	3	2	2	0	 	3220	205W	1	 	41751	62	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	 	0	2023	 	 	 	 	 	 	 	 	 	 	 	 	123	 	 	 	 	 	1
BH	21	26	MI6243800	     .00	 	01-JAN-1996	GRANT	MI	70	3	2	1	0	 	3220	205W	1	 	980	62	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	123	 	 	 	 	 	1
BH	21	26	MI6261600	     .00	 	01-JAN-1999	NEWAYGO	MI	60	3	2	1	0	 	3220	205W	1	 	2559	62	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	123	 	 	 	 	 	1
BH	21	26	MI6282000	     .00	 	01-MAY-1996	WHITE CLOUD	MI	70	3	2	1	0	 	3220	205W	1	 	1484	62	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	 	0	2023	 	 	 	 	 	 	 	 	 	 	 	 	123	 	 	 	 	 	1
BH	21	26	MI6284200	     .00	 	01-JAN-1995	FREMONT	MI	60	3	2	1	0	 	3220	205W	1	 	4615	62	0	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	 	0	2023	 	 	 	 	 	 	 	 	 	 	 	 	123	 	 	 	 	 	1
BH	21	26	MI6306300	     .00	 	01-JAN-1998	OAK PARK	MI	94	3	2	4	0	 	3220	200E	1	 	0	63	224	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	125	 	 	 	 	 	1
BH	21	26	MI6316300	     .00	 	01-JAN-1997	PONTIAC	MI	93	3	2	2	0	 	3220	200E	1	 	24565	63	224	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	125	 	 	 	 	 	1
BH	21	26	MI631800X	     .00	 	01-JAN-2015	 	MI	60	3	2	1	0	 	3220	200E	1	 	6216	63	224	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	125	 	 	 	 	 	1
BH	21	26	MI631810X	     .00	 	01-JAN-2015	 	MI	50	3	2	1	0	 	3220	200E	1	 	15255	63	224	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	125	 	 	 	 	 	1
BH	21	26	MI631820X	     .00	 	01-JAN-2015	 	MI	70	3	2	1	0	 	3220	200E	1	 	905	63	224	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	125	 	 	 	 	 	1
BH	21	26	MI631830X	     .00	 	01-JAN-2015	 	MI	40	3	2	1	0	 	3220	200E	1	 	38806	63	224	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	125	 	 	 	 	 	1
BH	21	26	MI631840X	     .00	 	01-JAN-2015	 	MI	50	3	2	1	0	 	3220	200E	1	 	19014	63	224	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	125	 	 	 	 	 	1
BH	21	26	MI631850X	     .00	 	01-JAN-2015	 	MI	40	3	2	1	0	 	3220	200E	1	 	36558	63	224	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	125	 	 	 	 	 	1
BH	21	26	MI631860X	     .00	 	01-JAN-2015	 	MI	40	3	2	1	0	 	3220	200E	1	 	25600	63	224	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	125	 	 	 	 	 	1
BH	21	26	MI631870X	     .00	 	01-JAN-2015	 	MI	50	3	2	1	0	 	3220	200E	1	 	20328	63	224	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	125	 	 	 	 	 	1
BH	21	26	MI631880X	     .00	 	01-JAN-2015	 	MI	40	3	2	1	0	 	3220	200E	1	 	35629	63	224	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	125	 	 	 	 	 	1
BH	21	26	MI631890X	     .00	 	01-JAN-2015	 	MI	50	3	2	1	0	 	3220	200E	1	 	18967	63	224	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	125	 	 	 	 	 	1
BH	21	26	MI631900X	     .00	 	01-JAN-2015	 	MI	30	3	2	1	1	 	3220	200E	1	 	61871	63	224	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	125	 	 	 	 	 	1
BH	21	26	MI631910X	     .00	 	01-JAN-2015	 	MI	30	3	2	1	0	 	3220	200E	1	 	75845	63	224	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	125	 	 	 	 	 	1
BH	21	26	MI631920X	     .00	 	01-JAN-2015	 	MI	50	3	2	1	0	 	3220	200E	1	 	14657	63	224	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	125	 	 	 	 	 	1
BH	21	26	MI6325100	     .00	 	01-SEP-1996	BERKLEY	MI	50	3	2	1	0	 	3220	200E	1	 	14863	63	224	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	125	 	 	 	 	 	1
BH	21	26	MI6325500	     .00	 	01-AUG-1996	BEVERLY HILLS	MI	50	3	2	1	0	 	3220	200E	1	 	10370	63	224	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	125	 	 	 	 	 	1
BH	21	26	MI6325900	     .00	 	01-MAR-1996	BIRMINGHAM	MI	50	3	2	1	0	 	3220	200E	1	 	21683	63	224	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	125	 	 	 	 	 	1
BH	21	26	MI6326100	     .00	 	01-AUG-1996	BLOOMFIELD HILLS	MI	60	3	2	1	0	 	3220	200E	1	 	4352	63	224	0	0	 	 	0	0	 	 	0	0	 	 	0	0	 	 	0	12	12	2023	 	 	 	 	 	 	 	 	 	 	 	 	125	 	 	 	 	 	1
